time;data;year;month;su;label;tillage;tillage_d;ov_time;conv;time_conv;cover;crop;x;y;coor1;cood2;state;muni;ID;prof;FCO2;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;46;7647673.68;782062.71;SP;Jaboticabal;46;0-0.1;0.912;21.31;NA;5.0;26;45;4.0;26;10;34;40.0;74.0;54;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;47;7647673.68;782062.71;SP;Jaboticabal;47;0-0.1;0.709;21.34;NA;5.2;29;45;4.1;26;11;34;41.1;75.1;55;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;48;7647673.68;782062.71;SP;Jaboticabal;48;0-0.1;0.799;21.21;NA;5.0;26;59;3.3;25;10;34;38.3;72.3;53;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;49;7647673.68;782062.71;SP;Jaboticabal;49;0-0.1;0.858;21.45;NA;5.2;28;36;4.6;30;12;34;46.6;80.6;58;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;30;50;7647673.68;782062.71;SP;Jaboticabal;50;0-0.1;0.755;21.44;NA;5.1;23;30;4.3;25;10;31;39.3;70.3;56;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;40;50;7647673.68;782062.71;SP;Jaboticabal;51;0-0.1;0.95;21.44;NA;5.3;29;44;4.3;28;12;31;44.3;75.3;59;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;50;50;7647673.68;782062.71;SP;Jaboticabal;52;0-0.1;0.859;21.48;NA;5.3;25;48;4.2;30;13;31;47.2;78.2;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;10;55;7647673.68;782062.71;SP;Jaboticabal;53;0-0.1;0.75;21.61;NA;5.3;24;64;6.2;29;14;28;49.2;77.2;63;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;70;55;7647673.68;782062.71;SP;Jaboticabal;54;0-0.1;0.681;21.73;NA;5.2;23;47;3.6;27;11;31;41.6;72.6;57;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espacial;12/07/2001;2001;7;Convencional;AD_GN;sim;01/07/2001;11;01/01/1970;31;descoberto;milho_soja;20;60;7647673.68;782062.71;SP;Jaboticabal;55;0-0.1;0.647;20.82;NA;5.3;26;61;5.7;30;15;31;50.7;81.7;62;NA;NA;NA;NA;NA;NA;NA;NA;NA
